Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Martin MAC Quantum Wash,11° - 53°,880W,,,309,,C.215,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"10,777m","2,125m","0,120m","0,0°","0,0°","67,5°",-270°,67°,No,0°,0°,No,0°,0°,48a9a143-970d-421b-9d0d-d7c6f4968f12,
Martin MAC Quantum Wash,11° - 53°,880W,,,311,,C.249,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"11,439m","3,728m","0,120m","0,0°","0,0°","67,5°",-270°,67°,No,0°,0°,No,0°,0°,b64dcb13-d8a5-43bf-8546-5d6781080009,
Martin MAC Quantum Wash,11° - 53°,880W,,,312,,C.266,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"11,771m","4,529m","0,120m","0,0°","0,0°","67,5°",-270°,67°,No,0°,0°,No,0°,0°,552f1148-5c19-4c99-8ae2-6b62fb65a7df,
Martin MAC Quantum Wash,11° - 53°,880W,,,310,,C.232,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"11,108m","2,926m","0,120m","0,0°","0,0°","67,5°",-270°,67°,No,0°,0°,No,0°,0°,a9d1b692-fd1c-4236-93dc-461492312c05,
Martin MAC Quantum Wash,11° - 53°,880W,,,316,,C.334,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"14,229m","2,126m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,d8dd4ab1-adb3-44b6-9b2f-64866e5183c2,
Martin MAC Quantum Wash,11° - 53°,880W,,,314,,C.300,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"13,564m","3,728m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,3a6e3594-0047-48dd-8870-5502cb57436e,
Martin MAC Quantum Wash,11° - 53°,880W,,,313,,C.283,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"13,232m","4,529m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,f3521102-ac99-46fc-88da-e80aee5f80d6,
Martin MAC Quantum Wash,11° - 53°,880W,,,315,,C.317,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"13,897m","2,927m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,424f8923-f52e-4abd-b73b-146fd6acb71b,
Martin MAC Quantum Wash,11° - 53°,880W,,,308,,C.198,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"-10,777m","2,125m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,def0dade-2d4e-44e3-a601-9849d1dce51f,
Martin MAC Quantum Wash,11° - 53°,880W,,,306,,C.164,Basic 2.0.0,17,1.4 Martin Quantum Wash,,,,,,,21kg,,"-11,439m","3,728m","0,120m","0,0°","-0,0°","-67,5°",-90°,67°,No,0°,0°,No,0°,0°,316d29d4-dc00-4476-b74a-0a6736f4c13e,
